SYMBOL, NAME OF COMPANY, SERIES, FACE VALUE, PAID UP VALUE, MKT LOT, IP RATE, DATE OF LISTING, DATE OF ALLOTMENT, REDEMPTION DATE, REDEMPTION AMT, CONVERSION DATE, CONVERSION AMT, INTEREST PAYMENT DT
1030SFIL28,Sammaan Finserve Limited,NM,400,400,1,10.3,06-FEB-2023,,02-FEB-2028,,,,,INE244L07283
1035CCSP26,Clix Capital Services Private Limited,N2,40000,40000,1,10.35,03-APR-2024,,28-SEP-2026,,,,,INE157D07EH8
1035CCSP27,Clix Capital Services Private Limited,N3,50000,50000,1,10.35,26-APR-2024,,24-APR-2027,,,,,INE157D07EI6
1035UCL26,Ugro Capital Limited,NA,125,125,1,10.35,29-FEB-2024,,27-FEB-2026,,,,,INE583D07448
1039UCL26,Ugro Capital Limited,NE,1000,1000,1,10.39,28-APR-2025,,24-OCT-2026,,,,,INE583D07570
1040NFL26,Navi Finserv Limited,NA,1000,1000,1,10.4,18-MAR-2024,,13-JUN-2026,,,,,INE342T07437
1040UCL27B,Ugro Capital Limited,N1,1000,1000,1,10.4,28-OCT-2024,,24-APR-2027,,,,,INE583D07513
1050IIFL29,IIFL Samasta Finance Limited,ND,1000,1000,1,10.5,25-JUN-2024,,21-JUN-2029,,,,,INE413U07319
1050ISFL28,IIFL Samasta Finance Limited,N5,1000,1000,1,10.5,26-DEC-2023,,21-DEC-2028,,,,,INE413U07251
1050NFL26,Navi Finserv Limited,N7,1000,1000,1,10.5,21-JUL-2023,,18-JUL-2026,,,,,INE342T07387
1050SCFL31,Sammaan Capital Limited,Z2,1000,1000,1,10.5,28-MAR-2024,,26-MAR-2031,,,,,INE148I07SM6
1050SCL30,Sammaan Capital Limited,NU,714.28,714.28,1,10.5,13-NOV-2023,,09-NOV-2030,,,,,INE148I07QV1
1050SCL31,Sammaan Capital Limited,ZP,1000,1000,1,10.5,04-JUN-2024,,31-MAY-2031,,,,,INE148I07TK8
1050SCL31A,Sammaan Capital Limited,N1,1000,1000,1,10.5,27-SEP-2024,,25-SEP-2031,,,,,INE148I07UP5
1050SCL31T,Sammaan Capital Limited,N1,1000,1000,1,10.5,31-DEC-2024,,27-DEC-2031,,,,,INE148I07VD9
1050SCL32,Sammaan Capital Limited,N1,1000,1000,1,10.5,21-MAR-2025,,19-MAR-2032,,,,,INE148I07WX5
1050SFIL28,Sammaan Finserve Limited,NV,1000,1000,1,,27-APR-2023,,25-APR-2026,,,,,INE244L07531
1050UCL28,Ugro Capital Limited,NH,1000,1000,1,10.5,28-APR-2025,,24-OCT-2028,,,,,INE583D07596
105IIFL29,IIFL Finance Limited,N7,1000,1000,1,10.5,22-JUN-2020,,07-FEB-2029,,,,,INE866I08295
105UCL2026,Ugro Capital Limited,NB,1000,1000,1,10.5,29-FEB-2024,,27-MAY-2026,,,,,INE583D07463
1060ECL29,ECL Finance Limited,NS,1000,1000,1,10.6,08-JAN-2019,,04-JAN-2029,,,,,INE804IA7022
1065NFL27,Navi Finserv Limited,NC,1000,1000,1,10.65,18-MAR-2024,,13-MAR-2027,,,,,INE342T07460
1075SCFL34,Sammaan Capital Limited,Z6,1000,1000,1,10.75,28-MAR-2024,,26-MAR-2034,,,,,INE148I07SR5
1075SCL33,Sammaan Capital Limited,YK,1000,1000,1,10.75,29-DEC-2023,,27-DEC-2033,,,,,INE148I07RW7
1075SCL33A,Sammaan Capital Limited,N2,800,800,1,10.75,28-SEP-2023,,26-SEP-2033,,,,,INE148I07PT7
1075SCL33B,Sammaan Capital Limited,NW,800,800,1,10.25,13-NOV-2023,,09-NOV-2033,,,,,INE148I07QY5
1075SCL34,Sammaan Capital Limited,ZR,1000,1000,1,10.75,04-JUN-2024,,31-MAY-2034,,,,,INE148I07TP7
1075SCL34C,Sammaan Capital Limited,N1,1000,1000,1,10.75,27-SEP-2024,,25-SEP-2034,,,,,INE148I07UW1
1075SCL34T,Sammaan Capital Limited,N1,1000,1000,1,10.75,31-DEC-2024,,27-DEC-2034,,,,,INE148I07VE7
1075SCL35,Sammaan Capital Limited,N1,1000,1000,1,10.75,21-MAR-2025,,19-MAR-2035,,,,,INE148I07WR7
1075WCA28,Western Capital Advisors Private Limited,N0,10000,10000,1,10.75,03-OCT-2025,,01-OCT-2028,,,,,INE0A3007065
1075WCAP28,Western Capital Advisors Private Limited,N0,100000,100000,1,10.75,04-SEP-2025,,01-SEP-2028,,,,,INE0A3007057
1077IIFL30,IIFL Samasta Finance Limited,N7,100000,100000,1,10.77,12-MAR-2024,,07-FEB-2030,,,,,INE413U08127
1090NFL26,Navi Finserv Limited,NB,1000,1000,1,10.9,18-MAR-2024,,13-JUN-2026,,,,,INE342T07452
1096GIPL28,Gaursons India Private Limited,N0,100000,100000,1,10.96,31-DEC-2025,,26-DEC-2028,,,,,INE1BEC08019
10CAGL27,CREDITACCESS GRAMEEN LIMITED,N5,1000,1000,1,10,25-NOV-2022,,23-NOV-2027,,,,,INE741K07496
10IFSL26,InCred Financial Services Limited,N7,1000,1000,1,10,06-FEB-2023,,02-MAY-2026,,,,,INE321N07293
10IIFL26,IIFL Samasta Finance Limited,N0,20833.27,20833.27,1,10,03-JUL-2024,,28-JUN-2026,,,,,INE413U08135
10IIFL28,IIFL Home Finance Limited,N4,1000,1000,1,10,05-AUG-2021,,03-NOV-2028,,,,,INE477L08147
10IIFL28A,IIFL Finance Limited,NE,1000,1000,1,10,25-MAR-2021,,24-JUN-2028,,,,,INE530B08094
10IIFL29,IIFL Finance Limited,N6,1000,1000,1,10,22-JUN-2020,,07-FEB-2029,,,,,INE866I08279
10IIFLSF27,IIFL Samasta Finance Limited,NB,1000,1000,1,10,25-JUN-2024,,21-JUN-2027,,,,,INE413U07293
10ISFL26,IIFL Samasta Finance Limited,N3,1000,1000,1,10,26-DEC-2023,,21-DEC-2026,,,,,INE413U07277
10NIDO26,Nido Home Finance Limited,N6,1000,1000,1,10,22-JUL-2016,,19-JUL-2026,,,,,INE530L07228
10SCL31,Sammaan Capital Limited,Z1,1000,1000,1,10,28-MAR-2024,,26-MAR-2031,,,,,INE148I07SU9
10SCL31A,Sammaan Capital Limited,ZO,1000,1000,1,10,04-JUN-2024,,31-MAY-2031,,,,,INE148I07TO0
10UCL26,Ugro Capital Limited,ND,1000,1000,1,10,28-APR-2025,,24-OCT-2026,,,,,INE583D07562
1102NFL26,Navi Finserv Limited,N8,1000,1000,1,11.02,21-JUL-2023,,18-JUL-2026,,,,,INE342T07403
1119NFL27,Navi Finserv Limited,ND,1000,1000,1,11.19,18-MAR-2024,,13-MAR-2027,,,,,INE342T07445
111ESFB31,ESAF Small Finance Bank Limited,N0,100000,100000,1,11.1,21-JUL-2025,,17-JUL-2031,,,,,INE818W08131
1125VCCL27,Vedika Credit Capital Limited,N0,100000,100000,1,11.25,01-DEC-2025,,27-NOV-2027,,,,,INE04HY07351
113ESFB31,ESAF Small Finance Bank Limited,N0,100000,100000,1,11.3,19-AUG-2025,,14-MAY-2031,,,,,INE818W08149
113ESFB31B,ESAF Small Finance Bank Limited,N0,100000,100000,1,11.3,12-NOV-2025,,10-AUG-2031,,,,,INE818W08156
1150AFIL28,Akme Fintrade (India) Limited,N0,10000,10000,1,11.5,26-DEC-2025,,22-DEC-2028,,,,,INE916Y07065
1150AFIL29,Akme Fintrade (India) Limited,N0,10000,10000,1,11.5,22-JAN-2026,,19-JAN-2029,,,,,INE916Y07073
115VCCL27,Vedika Credit Capital Limited,N0,100000,100000,1,11.5,25-JUL-2025,,23-JAN-2027,,,,,INE04HY07286
115VCCL28,Vedika Credit Capital Limited,N0,100000,100000,1,11.5,01-DEC-2025,,27-MAY-2028,,,,,INE04HY07377
115VCCL28A,Vedika Credit Capital Limited,N0,100000,100000,1,11.5,24-DEC-2025,,22-APR-2028,,,,,INE04HY07385
1165ESFB32,ESAF Small Finance Bank Limited,N0,100000,100000,1,11.65,28-JAN-2026,,23-FEB-2032,,,,,INE818W08164
116VCCL26,Vedika Credit Capital Limited,N0,100000,100000,1,11.6,17-OCT-2024,,14-APR-2026,,,,,INE04HY07195
116VCCL26A,Vedika Credit Capital Limited,N0,100000,100000,1,11.6,24-JUN-2025,,20-DEC-2026,,,,,INE04HY07260
116VCCL27,Vedika Credit Capital Limited,N0,100000,100000,1,11.6,25-AUG-2025,,21-FEB-2027,,,,,INE04HY07310
116VCCL27A,Vedika Credit Capital Limited,N0,100000,100000,1,11.6,09-OCT-2025,,07-APR-2027,,,,,INE04HY07328
1175IFL28,IFL Finance Limited,N0,10000,10000,1,11.75,01-FEB-2026,,29-JAN-2028,,,,,INE01XO07033
1180VCCL26,Vedika Credit Capital Limited,N0,100000,100000,1,11.8,17-OCT-2024,,14-OCT-2026,,,,,INE04HY07187
118VCCL27,Vedika Credit Capital Limited,N0,100000,100000,1,11.8,24-JUN-2025,,20-JUN-2027,,,,,INE04HY07245
118VCCL27A,Vedika Credit Capital Limited,N0,100000,100000,1,11.8,25-AUG-2025,,21-AUG-2027,,,,,INE04HY07302
118VCCL27B,Vedika Credit Capital Limited,N0,100000,100000,1,11.8,09-OCT-2025,,07-OCT-2027,,,,,INE04HY07336
1190VCCL26,Vedika Credit Capital Limited,N0,100000,100000,1,11.9,28-JUN-2024,,25-JUN-2026,,,,,INE04HY07120
119VCCL26,Vedika Credit Capital Limited,N0,100000,100000,1,11.9,16-AUG-2024,,12-AUG-2026,,,,,INE04HY07146
11UCL26,Ugro Capital Limited,NC,1000,1000,1,11,29-FEB-2024,,27-MAY-2026,,,,,INE583D07455
11VCCL27,Vedika Credit Capital Limited,N0,100000,100000,1,11,01-DEC-2025,,27-MAY-2027,,,,,INE04HY07369
1215DHPL27,Demuric Holdings Private Limited,N0,100000,100000,1,12.15,26-AUG-2025,,22-AUG-2027,,,,,INE835I08019
1225DCCL27,Dar Credit & Capital Limited,N0,100000,100000,1,12.25,16-DEC-2025,,10-DEC-2027,,,,,INE04Q907108
1225IFL27,Ifl Finance Limited (Formerly Known As Ifl Housing Finance Limited),N0,10000,10000,1,12.25,24-NOV-2025,,18-NOV-2027,,,,,INE01XO07017
1225IFL28,IFL Finance Limited,N0,10000,10000,1,12.25,21-JAN-2026,,16-JAN-2028,,,,,INE01XO07025
125VCCL31,Vedika Credit Capital Limited,N0,100000,100000,1,12.5,07-JAN-2026,,05-DEC-2031,,,,,INE04HY08011
12AFIL27,Akme Fintrade (India) Limited,N0,10000,10000,1,12,26-AUG-2025,,22-AUG-2027,,,,,INE916Y07032
12AFIL27A,Akme Fintrade (India) Limited,N0,10000,10000,1,12,17-SEP-2025,,15-SEP-2027,,,,,INE916Y07040
12AFIL28,Akme Fintrade (India) Limited,N0,10000,10000,1,12,20-OCT-2025,,16-APR-2028,,,,,INE916Y07057
12DCCL27,Dar Credit & Capital Limited,N0,100000,100000,1,12,23-SEP-2025,,19-MAR-2027,,,,,INE04Q907090
12VCCL27,Vedika Credit Capital Limited,N0,100000,100000,1,12,26-SEP-2024,,23-MAR-2027,,,,,INE04HY07161
12VCCL27A,Vedika Credit Capital Limited,N0,100000,100000,1,12,17-OCT-2024,,14-APR-2027,,,,,INE04HY07179
12VCCL27B,Vedika Credit Capital Limited,N0,100000,100000,1,12,25-FEB-2025,,21-AUG-2027,,,,,INE04HY07211
12VCCL27D,Vedika Credit Capital Limited,N0,100000,100000,1,12,24-JUN-2025,,20-DEC-2027,,,,,INE04HY07252
12VCCL28,Vedika Credit Capital Limited,N0,100000,100000,1,12,20-OCT-2025,,16-OCT-2028,,,,,INE04HY07344
12VCCL29,Vedika Credit Capital Limited,N0,100000,100000,1,12,26-SEP-2024,,23-SEP-2029,,,,,INE04HY07153
12VCCL29A,Vedika Credit Capital Limited,N0,100000,100000,1,12,30-JAN-2025,,28-JAN-2029,,,,,INE04HY07203
12VCCL29B,Vedika Credit Capital Limited,N0,100000,100000,1,12,08-APR-2025,,04-APR-2029,,,,,INE04HY07229
12VCCL29C,Vedika Credit Capital Limited,N0,100000,100000,1,12,25-JUL-2025,,23-JUL-2029,,,,,INE04HY07278
14RARL30,Rare Asset Reconstruction Limited,N0,100000,100000,1,14,25-MAR-2025,,20-MAR-2030,,,,,INE03UZ07023
1650RARL27,Rare Asset Reconstruction Limited,N0,75000,75000,1,16.5,05-AUG-2024,,31-JUL-2027,,,,,INE03UZ07015
165RARL28,Rare Asset Reconstruction Limited,N0,100000,100000,1,16.5,13-OCT-2025,,30-JUN-2028,,,,,INE03UZ07031
182D030426,Government of India,TB,100,100,100,,06-OCT-2025,,03-APR-2026,,,,,IN002025Y271
182D040626,Government of India,TB,100,100,100,,05-DEC-2025,,04-JUN-2026,,,,,IN002025Y362
182D050226,Government of India,TB,100,100,100,,08-AUG-2025,,05-FEB-2026,,,,,IN002025Y198
182D050326,Government of India,TB,100,100,100,,05-SEP-2025,,05-MAR-2026,,,,,IN002025Y230
182D080526,Government of India,TB,100,100,100,,10-NOV-2025,,08-MAY-2026,,,,,IN002025Y321
182D090426,Government of India,TB,100,100,100,,10-OCT-2025,,09-APR-2026,,,,,IN002025Y289
182D090726,Government of India,TB,100,100,100,,09-JAN-2026,,09-JUL-2026,,,,,IN002025Y404
182D110626,Government of India,TB,100,100,100,,12-DEC-2025,,11-JUN-2026,,,,,IN002025Y370
182D120226,Government of India,TB,100,100,100,,18-AUG-2025,,12-FEB-2026,,,,,IN002025Y206
182D120326,Government of India,TB,100,100,100,,12-SEP-2025,,12-MAR-2026,,,,,IN002025Y248
182D140526,Government of India,TB,100,100,100,,14-NOV-2025,,14-MAY-2026,,,,,IN002025Y339
182D160426,Government of India,TB,100,100,100,,17-OCT-2025,,16-APR-2026,,,,,IN002025Y297
182D170726,Government of India,TB,100,100,100,,19-JAN-2026,,17-JUL-2026,,,,,IN002025Y412
182D180626,Government of India,TB,100,100,100,,19-DEC-2025,,18-JUN-2026,,,,,IN002025Y388
182D190226,Government of India,TB,100,100,100,,22-AUG-2025,,19-FEB-2026,,,,,IN002025Y214
182D190326,Government of India,TB,100,100,100,,19-SEP-2025,,19-MAR-2026,,,,,IN002025Y255
182D200526,Government of India,TB,100,100,100,,21-NOV-2025,,21-MAY-2026,,,,,IN002025Y347
182D230726,Government of India,TB,100,100,100,,23-JAN-2026,,23-JUL-2026,,,,,IN002025Y420
182D240426,Government of India,TB,100,100,100,,27-OCT-2025,,24-APR-2026,,,,,IN002025Y305
182D260326,Government of India,TB,100,100,100,,26-SEP-2025,,26-MAR-2026,,,,,IN002025Y263
182D260626,Government of India,TB,100,100,100,,29-DEC-2025,,26-JUN-2026,,,,,IN002025Y396
182D270226,Government of India,TB,100,100,100,,01-SEP-2025,,27-FEB-2026,,,,,IN002025Y222
182D280526,Government of India,TB,100,100,100,,28-NOV-2025,,28-MAY-2026,,,,,IN002025Y354
182D300426,Government of India,TB,100,100,100,,31-OCT-2025,,30-APR-2026,,,,,IN002025Y313
182D300726,Government of India,TB,100,100,100,,30-JAN-2026,,30-JUL-2026,,,,,IN002025Y438
18MVL27,Magnum Ventures Limited,N0,26717.39,26717.39,1,18,15-MAR-2024,,31-AUG-2027,,,,,INE387I07013
18PVL29,PVP Ventures Limited,N0,100000,100000,1,18,17-APR-2025,,31-MAR-2029,,,,,INE362A07054
18PVL29A,PVP Ventures Limited,N0,100000,100000,1,18,17-APR-2025,,31-MAR-2029,,,,,INE362A07047
364D010526,Government of India,TB,100,100,100,,05-MAY-2025,,01-MAY-2026,,,,,IN002025Z054
364D020426,Government of India,TB,100,100,100,,04-APR-2025,,02-APR-2026,,,,,IN002025Z013
364D020726,Government of India,TB,100,100,100,,04-JUL-2025,,02-JUL-2026,,,,,IN002025Z146
364D021026,Government of India,TB,100,100,100,,06-OCT-2025,,02-OCT-2026,,,,,IN002025Z278
364D030926,Government of India,TB,100,100,100,,05-SEP-2025,,03-SEP-2026,,,,,IN002025Z237
364D031226,Government of India,TB,100,100,100,,05-DEC-2025,,03-DEC-2026,,,,,IN002025Z369
364D040626,Government of India,TB,100,100,100,,06-JUN-2025,,04-JUN-2026,,,,,IN002025Z104
364D050226,Government of India,TB,100,100,100,,07-FEB-2025,,05-FEB-2026,,,,,IN002024Z438
364D050326,Government of India,TB,100,100,100,,07-MAR-2025,,05-MAR-2026,,,,,IN002024Z479
364D060826,Government of India,TB,100,100,100,,08-AUG-2025,,06-AUG-2026,,,,,IN002025Z195
364D061126,Government of India,TB,100,100,100,,10-NOV-2025,,06-NOV-2026,,,,,IN002025Z328
364D070127,Government of India,TB,100,100,100,,09-JAN-2026,,07-JAN-2027,,,,,IN002025Z401
364D070526,Government of India,TB,100,100,100,,09-MAY-2025,,07-MAY-2026,,,,,IN002025Z062
364D081026,Government of India,TB,100,100,100,,10-OCT-2025,,08-OCT-2026,,,,,IN002025Z286
364D090726,Government of India,TB,100,100,100,,11-JUL-2025,,09-JUL-2026,,,,,IN002025Z153
364D100426,Government of India,TB,100,100,100,,15-APR-2025,,10-APR-2026,,,,,IN002025Z021
364D100926,Government of India,TB,100,100,100,,12-SEP-2025,,10-SEP-2026,,,,,IN002025Z245
364D101226,Government of India,TB,100,100,100,,12-DEC-2025,,10-DEC-2026,,,,,IN002025Z377
364D110626,Government of India,TB,100,100,100,,13-JUN-2025,,11-JUN-2026,,,,,IN002025Z112
364D120226,Government of India,TB,100,100,100,,14-FEB-2025,,12-FEB-2026,,,,,IN002024Z446
364D120326,Government of India,TB,100,100,100,,17-MAR-2025,,12-MAR-2026,,,,,IN002024Z487
364D121126,Government of India,TB,100,100,100,,14-NOV-2025,,12-NOV-2026,,,,,IN002025Z336
364D130826,Government of India,TB,100,100,100,,18-AUG-2025,,13-AUG-2026,,,,,IN002025Z203
364D140526,Government of India,TB,100,100,100,,16-MAY-2025,,14-MAY-2026,,,,,IN002025Z070
364D150127,Government of India,TB,100,100,100,,19-JAN-2026,,15-JAN-2027,,,,,IN002025Z419
364D151026,Government of India,TB,100,100,100,,17-OCT-2025,,15-OCT-2026,,,,,IN002025Z294
364D160426,Government of India,TB,100,100,100,,21-APR-2025,,16-APR-2026,,,,,IN002025Z039
364D160726,Government of India,TB,100,100,100,,18-JUL-2025,,16-JUL-2026,,,,,IN002025Z161
364D170926,Government of India,TB,100,100,100,,19-SEP-2025,,17-SEP-2026,,,,,IN002025Z252
364D171226,Government of India,TB,100,100,100,,19-DEC-2025,,17-DEC-2026,,,,,IN002025Z385
364D180626,Government of India,TB,100,100,100,,20-JUN-2025,,18-JUN-2026,,,,,IN002025Z120
364D181126,Government of India,TB,100,100,100,,21-NOV-2025,,19-NOV-2026,,,,,IN002025Z344
364D190326,Government of India,TB,100,100,100,,21-MAR-2025,,19-MAR-2026,,,,,IN002024Z495
364D200226,Government of India,TB,100,100,100,,24-FEB-2025,,20-FEB-2026,,,,,IN002024Z453
364D200826,Government of India,TB,100,100,100,,22-AUG-2025,,20-AUG-2026,,,,,IN002025Z211
364D210127,Government of India,TB,100,100,100,,23-JAN-2026,,21-JAN-2027,,,,,IN002025Z427
364D210526,Government of India,TB,100,100,100,,23-MAY-2025,,21-MAY-2026,,,,,IN002025Z088
364D230726,Government of India,TB,100,100,100,,25-JUL-2025,,23-JUL-2026,,,,,IN002025Z179
364D231026,Government of India,TB,100,100,100,,27-OCT-2025,,23-OCT-2026,,,,,IN002025Z302
364D240426,Government of India,TB,100,100,100,,25-APR-2025,,23-APR-2026,,,,,IN002025Z047
364D240926,Government of India,TB,100,100,100,,26-SEP-2025,,24-SEP-2026,,,,,IN002025Z260
364D250626,Government of India,TB,100,100,100,,27-JUN-2025,,25-JUN-2026,,,,,IN002025Z138
364D251226,Government of India,TB,100,100,100,,29-DEC-2025,,25-DEC-2026,,,,,IN002025Z393
364D260326,Government of India,TB,100,100,100,,28-MAR-2025,,26-MAR-2026,,,,,IN002024Z503
364D261126,Government of India,TB,100,100,100,,28-NOV-2025,,26-NOV-2026,,,,,IN002025Z351
364D270226,Government of India,TB,100,100,100,,03-MAR-2025,,27-FEB-2026,,,,,IN002024Z461
364D280127,Government of India,TB,100,100,100,,30-JAN-2026,,28-JAN-2027,,,,,IN002025Z435
364D280526,Government of India,TB,100,100,100,,30-MAY-2025,,28-MAY-2026,,,,,IN002025Z096
364D280826,Government of India,TB,100,100,100,,01-SEP-2025,,28-AUG-2026,,,,,IN002025Z229
364D291026,Government of India,TB,100,100,100,,31-OCT-2025,,29-OCT-2026,,,,,IN002025Z310
364D300726,Government of India,TB,100,100,100,,01-AUG-2025,,30-JUL-2026,,,,,IN002025Z187
563GS2026,Government of India,GS,100,100,1,5.63,13-APR-2021,,12-APR-2026,,,,,IN0020210012
574GS2026,Government of India,GS,100,100,1,5.74,16-NOV-2021,,15-NOV-2026,,,,,IN0020210186
575PY26,Puducherry - Union Territory,SG,100,100,100,5.75,30-OCT-2020,,28-OCT-2026,,,,,IN3820200035
577GS2030,Government of India,GS,100,100,1,5.77,04-AUG-2020,,03-AUG-2030,,,,,IN0020200153
579GS2030,Government of India,GS,100,100,1,5.79,12-MAY-2020,,11-MAY-2030,,,,,IN0020200070
57KA26,Karnataka State,SG,100,100,100,5.7,27-JUL-2020,,15-JUL-2026,,,,,IN1920200079
582RJ27,Rajasthan State,SG,100,100,100,5.82,08-JAN-2021,,06-JAN-2027,,,,,IN2920200556
585GS2030,Government of India,GS,100,100,1,5.85,02-DEC-2020,,01-DEC-2030,,,,,IN0020200294
588CG26,Chattisgarh State,SG,100,100,100,5.88,01-JAN-2021,,30-DEC-2026,,,,,IN3520200087
